,district,elevation,Area,lat,lng,Year,Disaster Internal Displacements,Hazard Type,total_precip,drought_index,total solar,heavy rain,storm days,extreme temp,severerisk,low_pressure_days,pressure_anomaly,Country / Territory,population,Count of Disasters,pdensity,distancetowater,distancetowater1,distancetowater2,Country Code,gdp
57,kalangala,1260,9050888995.0,-0.3214,32.2919,2023,20,Storm,1403.8,78.0,8232.0,157.0,2.0,0.0,12.0,0.0,181.0,Uganda,92376.81231027344,1,10.206379987789637,43833.63644,119124.6649,120814.0747,UGA,49272882213.623
58,mbarara,1450,1241594350.0,-0.6133,30.6583,2018,2,Flood,1165.7,83.0,7014.0,206.0,0.0,0.0,0.0,0.0,178.0,Uganda,478106.037521362,1,385.0742696448015,30886.63272,31700.68099,34637.28552,UGA,32927025619.6795
59,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,200,Flood,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
60,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,600,Flood,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
61,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,1400,Flood,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
62,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,2,Mass Movement,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
63,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,200,Flood,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
64,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,15,Storm,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
65,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,20,Storm,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
66,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,590,Flood,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
67,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,800,Storm,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
68,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,59,Storm,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
69,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,120,Storm,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
